Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link_grp,"-0,12444","0,015119","0,11802",0,0,0,"4,3869E-05","2,7228E-08","3,0486E-12","-9,7953E-11","5,2891E-08","-8,2542E-13","2,5932E-08",0,0,0,0,0,0,package://gripper_schunk_kuka/meshes/base_link_grp.STL,1,0,0,1,0,0,0,0,0,0,package://gripper_schunk_kuka/meshes/base_link_grp.STL,,SCHUNK_0303412_PZN_plus_100_2__00000-1/_SCHUNK_5512156_Deckel_PZN_100_JGZ100_DPZ_100_12-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
structure_grp,"-0,00021291","0,023532","3,5559E-05",0,0,0,"0,00035228","3,1958E-07","-1,5683E-10","-2,4056E-09","5,08E-07","-5,9261E-10","3,2245E-07",0,0,0,0,0,0,package://gripper_schunk_kuka/meshes/structure_grp.STL,1,0,0,1,0,0,0,0,0,0,package://gripper_schunk_kuka/meshes/structure_grp.STL,,SCHUNK_0303412_PZN_plus_100_2__00000-1/_SCHUNK_5512142_Gehaeuse_PZNplus_100_2-1,Origin_base_to_str_grp,,base_to_str_grp,fixed,"-0,12498","-0,11817","0,018142","1,5708",0,"2,618",base_link_grp,0,0,0,,,,,,,,,,,,
guide_1_grp,"9,8421E-12","0,0094502","0,027502",0,0,0,"2,1395E-05","5,8843E-09","1,1603E-18","4,0999E-18","6,0491E-09","-7,7428E-11","1,5164E-09",0,0,0,0,0,0,package://gripper_schunk_kuka/meshes/guide_1_grp.STL,1,0,0,1,0,0,0,0,0,0,package://gripper_schunk_kuka/meshes/guide_1_grp.STL,,SCHUNK_0303412_PZN_plus_100_2__00000-1/_SCHUNK_5511283_finger_PZN_100_2_14-3,Origin_str_to_g1_grp,,str_to_g1_grp,fixed,0,"0,0321","-0,0043","3,1416",0,"3,1416",structure_grp,0,0,0,,,,,,,,,,,,
finger1_grp,"0,0099787","0,037092","0,006",0,0,0,"0,03384","1,5168E-05","5,5629E-06","5,5057E-21","6,9613E-06","-2,9646E-21","2,1317E-05",0,0,0,0,0,0,package://gripper_schunk_kuka/meshes/finger1_grp.STL,"0,75294",1,1,1,0,0,0,0,0,0,package://gripper_schunk_kuka/meshes/finger1_grp.STL,,dedo_gripper-2,Origin_g1_to_f1_grp,,g1_to_f1_grp,fixed,"0,006","0,0209","0,0165",0,"-1,5708",0,guide_1_grp,0,0,0,,,,,,,,,,,,
guide_2_grp,"9,84202996878736E-12","0,00945024176112787","0,0275015665025582",0,0,0,"2,13946053960986E-05","5,88431731307912E-09","1,15652657683827E-18","4,16310883451617E-18","6,04914588284188E-09","-7,74283160161931E-11","1,51641396909182E-09",0,0,0,0,0,0,package://gripper_schunk_kuka/meshes/guide_2_grp.STL,1,0,0,1,0,0,0,0,0,0,package://gripper_schunk_kuka/meshes/guide_2_grp.STL,,SCHUNK_0303412_PZN_plus_100_2__00000-1/_SCHUNK_5511283_finger_PZN_100_2_14-1,Origin_str_to_g2_grp,,str_to_g2_grp,fixed,"-0,0037239","0,0321","0,00215",0,"-1,0472",0,structure_grp,0,0,0,,,,,,,,,,,,
finger2_grp,"0,0099787","0,037092","0,006",0,0,0,"0,03384","1,5168E-05","5,5629E-06","4,768E-23","6,9613E-06","1,4988E-22","2,1317E-05",0,0,0,0,0,0,package://gripper_schunk_kuka/meshes/finger2_grp.STL,"0,75294",1,1,1,0,0,0,0,0,0,package://gripper_schunk_kuka/meshes/finger2_grp.STL,,dedo_gripper-1,Origin_g2_to_f2_grp,,g2_to_f2_grp,fixed,"0,006","0,0209","0,0165","3,1416","-1,5708",0,guide_2_grp,0,0,0,,,,,,,,,,,,
guide_3_grp,"0,0087239","0,0094502","0,025291",0,0,0,"2,1395E-05","5,8843E-09","1,1603E-18","4,0999E-18","6,0491E-09","-7,7428E-11","1,5164E-09",0,0,0,0,0,0,package://gripper_schunk_kuka/meshes/guide_3_grp.STL,1,0,0,1,0,0,0,0,0,0,package://gripper_schunk_kuka/meshes/guide_3_grp.STL,,SCHUNK_0303412_PZN_plus_100_2__00000-1/_SCHUNK_5511283_finger_PZN_100_2_14-2,Origin_str_to_g3_grp,,str_to_g3_grp,fixed,"0,0012761","0,0321","0,01081",0,"1,0472",0,structure_grp,0,0,0,,,,,,,,,,,,
finger3_grp,"0,0099787","0,037092","0,006",0,0,0,"0,03384","1,5168E-05","5,5629E-06","-6,7763E-21","6,9613E-06","4,6587E-21","2,1317E-05",0,0,0,0,0,0,package://gripper_schunk_kuka/meshes/finger3_grp.STL,"0,75294",1,1,1,0,0,0,0,0,0,package://gripper_schunk_kuka/meshes/finger3_grp.STL,,dedo_gripper-3,Origin_g3_to_f3_grp,,g3_to_f3_grp,fixed,"0,014724","0,0209","0,01429","3,1416","-1,5708",0,guide_3_grp,0,0,0,,,,,,,,,,,,
